BusStopID,RoadName,Description,Longitude,Latitude,SVY21_X,SVY21_Y
01012,Victoria St,Hotel Grand Pacific,103.85253591654006,1.29684825487647,30138.719949383347,31024.41789780923
01013,Victoria St,St. Joseph's Ch,103.8532247463225,1.29770970610083,30215.379876054147,31119.6733310572
01019,Victoria St,Bras Basah Cplx,103.85302201172507,1.29698951191332,30192.817931817153,31040.037789177033
01029,Nth Bridge Rd,Opp Natl Lib,103.85441422464267,1.2966729849642,30347.759225910177,31005.03911634688
01039,Nth Bridge Rd,Bugis Cube,103.85549139837407,1.29820784139683,30467.63767904641,31174.756664998597
01059,Victoria St,Bugis Stn Exit B,103.85611040457583,1.30075679526626,30536.525029643097,31456.607483238004
01109,Queen St,Queen St Ter,103.85650372998224,1.30358577565355,30580.29573493813,31769.421987233385
01112,Victoria St,Opp Bugis Stn Exit C,103.85520027125814,1.30009212839081,30435.236014353497,31383.11114352538
01113,Victoria St,Bugis Stn Exit A,103.8561140106393,1.30117297541547,30536.925936653275,31502.62654733291
01119,Victoria St,Aft Bugis Stn Exit C,103.85512934079571,1.2996041093804,30427.342555518324,31329.14844384784
01121,Victoria St,Aft Victoria Ln,103.85867999243207,1.30393809691048,30822.49351195284,31808.382194309976
01129,Victoria St,Bef Jln Pisang,103.85864530718491,1.30350269187301,30818.633844608412,31760.237303779897
01139,Nth Bridge Rd,Bugis Stn/Parkview Sq,103.85716080665901,1.30033057855542,30653.425779075587,31409.479710467378
01211,Victoria St,Opp Blk 461,103.8605449516032,1.30551803523268,31030.044549553717,31983.08582575433
01219,Victoria St,Blk 461,103.86072019914616,1.30526598535719,31049.5482923881,31955.215656572644
01229,Nth Bridge Rd,Bef Sultan Mque,103.85963089198265,1.30337552638813,30928.32059847432,31746.177121612593
01231,Jln Sultan,Opp Textile Ctr,103.8610830559663,1.3032499999752,31089.933379931488,31732.298789491506
01239,Jln Sultan,Sultan Plaza,103.86161817611134,1.30291236608351,31149.487802053878,31694.965630314444
01311,Kallang Rd,Lavender Stn Exit B,103.86219695240973,1.3070916463394,31213.89504460506,32157.08971438485
01319,Kallang Rd,Lavender Stn Exit A/ICA,103.86325596123476,1.30757426746418,31331.752277460317,32210.45686121644
01329,Nth Bridge Rd,Blk 8,103.86363028484124,1.30495670239172,31373.4145074428,31921.02044736958
01339,Crawford St,Bef Crawford Bridge,103.8642627465441,1.30774601733202,31443.797898535195,32229.44943833931
01341,Crawford St,Southbank,103.86452527798744,1.30647555600578,31473.016952844,32088.96870373518
01349,Crawford St,Opp Blk 4,103.86543994417883,1.30568635716829,31574.811965583303,32001.704426803975
01411,Beach Rd,Opp St. John HQ,103.86295598167331,1.30211332865049,31298.374447592305,31606.613885266343
01419,Beach Rd,St. John HQ,103.86326333301203,1.3020199999911,31332.57999331029,31596.29448537108
01421,Beach Rd,Opp Golden Mile Cplx,103.86483888898641,1.30338444400173,31507.92324022018,31747.169835809313
01429,Beach Rd,Golden Mile Cplx,103.86501584807763,1.3032136089394,31527.61741407501,31728.280018489964
01511,Beach Rd,Opp The Gateway,103.85864518302436,1.29919826103807,30818.624802048475,31284.27546938876
01519,Beach Rd,The Gateway,103.8589102973441,1.29907492488417,30848.12979799824,31270.63788881142
01521,Beach Rd,Opp Plaza Parkroyal,103.86066098182194,1.30088304437602,31042.96320498411,31470.572487730646
01529,Beach Rd,Plaza Parkroyal,103.86044115259938,1.30041667676526,31018.498743927346,31419.00369045137
01541,Rochor Rd,Bugis Stn Exit D,103.85734583628746,1.29886465442254,30674.019456868526,31247.38555456438
01549,Ophir Rd,Opp Duo Residences,103.85873120467069,1.30069868861162,30828.196575178135,31450.185131648257
01559,Ophir Rd,Village Hotel Bugis,103.85752923961614,1.30168731070562,30694.42762218907,31559.5005654573
01611,Beach Rd,Aft Raffles Hotel,103.85533686181174,1.29527259171342,30450.441953208625,30850.191713537813
01619,Beach Rd,Esplanade Stn Exit F,103.85503809424233,1.29428694178246,30417.19267146472,30741.203332861496
01621,Beach Rd,Opp Shaw Twrs,103.85655611109846,1.29695888888745,30586.132015121366,31036.654986347563
01629,Beach Rd,Shaw Twrs,103.856894,1.297085,30623.73593727072,31050.600051709414
01631,Middle Rd,Aft Beach Rd,103.85580555528077,1.29693614589482,30502.6018009738,31034.139429354298
01639,Middle Rd,Bef Beach Rd,103.85557583297624,1.29738750001468,30477.03529776566,31084.0476191096
02029,Esplanade Dr,Aft Esplanade Stn Exit D,103.85464,1.290106,30372.89212769673,30278.895954384476
02049,Bras Basah Rd,Raffles Hotel,103.85402155505173,1.29452091230981,30304.06050544654,30767.0736433902
02051,Raffles Ave,The Float @ Marina Bay,103.8590339,1.289503056,30861.896394971965,30212.230028648944
02061,Raffles Ave,The Esplanade,103.85640388886262,1.2899638888957,30569.19805437574,30263.183752298526
02089,Raffles Blvd,Promenade Stn/Pan Pacific,103.8592061110504,1.29152694444975,30881.059744943883,30436.021385246095
02101,Raffles Ave,Aft S'pore Flyer,103.86183148116275,1.28938483786533,31173.243545837,30199.161389858622
02111,Esplanade Dr,Esplanade Bridge,103.85453419435228,1.29095592348389,30361.116078508257,30372.876014936828
02119,Nicoll Highway,Opp War Memorial Pk,103.85534334305085,1.29184407356581,30451.166546036555,30471.083840285755
02141,Temasek Blvd,Suntec Twr Two,103.85933814632858,1.29576571603037,30895.749334700333,30904.723080528027
02149,Temasek Blvd,Suntec Twr Three,103.85955533029184,1.29560459817725,30919.920188746008,30886.907746363486
