Station Name,Longitude,Latitude,Number of Exits,Opening Date,Opening Year-Month,SVY21_X,SVY21_Y
SENJA LRT STATION,103.76232576657173,1.3828754471752023,1,6 November 1999,1999-11,20099.40060003363,40536.974700010454
SERANGOON MRT STATION,103.87329741577365,1.3502623171668309,8,20 June 2003,2003-06,32449.196609135055,36930.69924682291
SHENTON WAY MRT STATION,103.85093581007625,1.2774705811450466,6,23 November 2014,2014-11,29960.65701031649,28881.733404579303
SIGLAP MRT STATION,103.92997897887473,1.3098544576876827,4,23 June 2024,2024-06,38757.39870259364,32462.776085471378
SIMEI MRT STATION,103.953818676297,1.3426617945337078,1,16 December 1989,1989-12,41410.36110003459,36090.56609994801
SIXTH AVENUE MRT STATION,103.79670713017461,1.3311508856909509,2,27 December 2015,2015-12,23925.524402303086,34817.448649484366
SOMERSET MRT STATION,103.83883951102648,1.3003680916322324,4,12 December 1987,1987-12,28614.43009869151,31413.615868550307
SOO TECK LRT STATION,103.89721924696917,1.405129912183108,2,29 January 2005,2005-01,35111.266651040125,42997.73969913797
SOUTH VIEW LRT STATION,103.74510113107972,1.3803176569910298,1,6 November 1999,1999-11,18182.50530003423,40254.211200006466
SPRINGLEAF MRT STATION,103.81815854863089,1.3980974104338053,3,31 January 2020,2020-01,26312.89219779087,42220.02949923405
STADIUM MRT STATION,103.8753131111321,1.302940656871825,2,17 April 2010,2010-04,32673.609716779683,31698.11513083394
STEVENS MRT STATION,103.8257877978408,1.320141727991971,5,27 December 2015,2015-12,27161.898287110256,33600.08347513039
SUMANG LRT STATION,103.89854640201656,1.4084281664294225,2,29 January 2005,2005-01,35258.95065058541,43362.44829896067
TAI SENG MRT STATION,103.88792075251713,1.3352674810786016,2,17 April 2010,2010-04,34076.64759180869,35272.67784815143
TAMPINES EAST MRT STATION,103.95528315107563,1.3561430882801482,4,21 October 2017,2017-10,41573.26687457574,37581.27016951934
TAMPINES MRT STATION,103.94378200066225,1.3543165275390319,7,16 December 1989,1989-12,40293.327441082394,37379.23659144881
TAMPINES WEST MRT STATION,103.93857262189366,1.3453148925641991,2,21 October 2017,2017-10,39713.624994579026,36383.85429710824
TAN KAH KEE MRT STATION,103.80779999638969,1.3257396139528346,2,27 December 2015,2015-12,25160.039599979664,34219.08234984792
TANAH MERAH MRT STATION,103.94575888475583,1.32695951210127,2,4 November 1989,1989-11,40513.47139988895,34354.24204990393
TANJONG KATONG MRT STATION,103.89748462479018,1.299428004349031,3,23 June 2024,2024-06,35141.10840421494,31309.755830752194
TANJONG PAGAR MRT STATION,103.84643317490287,1.2765062559019922,9,12 December 1987,1987-12,29459.55022649517,28775.100311341557
TANJONG RHU MRT STATION,103.8735402960179,1.2973297672846043,2,23 June 2024,2024-06,32476.32135291697,31077.68849938586
TECK LEE LRT STATION,103.90664615971971,1.412902368913235,2,29 January 2005,2005-01,36160.32604984072,43857.21019962682
TECK WHYE LRT STATION,103.75382610234246,1.3765641949369936,1,6 November 1999,1999-11,19153.4719000338,39839.13780000058
TELOK AYER MRT STATION,103.84870717603917,1.282211776179462,3,22 December 2013,2013-12,29712.624701329732,29405.988666023834
TELOK BLANGAH MRT STATION,103.80988373092025,1.2707212262114045,1,8 October 2011,2011-10,25391.8818000335,28135.42979983628
THANGGAM LRT STATION,103.87562660067039,1.397195247131311,2,29 January 2005,2005-01,32708.31700002351,42120.30974994702
TIONG BAHRU MRT STATION,103.82724350426975,1.286060698644622,2,12 March 1988,1988-03,27323.894953331946,29831.57829844209
TOA PAYOH MRT STATION,103.84728463789433,1.3327412066251947,4,7 November 1987,1987-11,29554.27681729678,34993.27232003305
TONGKANG LRT STATION,103.88602323575125,1.3892795844733175,2,29 January 2005,2005-01,33865.3433003228,41245.058899916934
TUAS CRESCENT MRT STATION,103.64912276518791,1.3210037067554503,2,18 June 2017,2017-06,7500.793401691128,33696.15514953181
TUAS LINK MRT STATION,103.63704319374754,1.3406834857368601,2,18 June 2017,2017-06,6156.6223476077175,35872.359998637534
TUAS WEST ROAD MRT STATION,103.63953752800171,1.330027377185666,2,18 June 2017,2017-06,6434.1236019244425,34694.03319873007
UBI MRT STATION,103.89923113088656,1.3298907994822522,2,21 October 2017,2017-10,35335.390151307736,34678.18239044647
UPPER CHANGI MRT STATION,103.96127431310124,1.3414693406993108,4,21 October 2017,2017-10,42240.10130126225,35958.752472977605
UPPER THOMSON MRT STATION,103.83282056841342,1.354527123585599,5,13 November 2022,2022-11,27944.577113844127,37402.243221366305
WOODLANDS MRT STATION,103.7876268008561,1.4361869096379902,7,10 February 1996,1996-02,22915.20119694733,46431.81955191252
WOODLANDS NORTH MRT STATION,103.78526567604953,1.4484919011018793,2,31 January 2020,2020-01,22652.47264537755,47792.449599158026
WOODLANDS SOUTH MRT STATION,103.79395813934858,1.4269722738260022,5,31 January 2020,2020-01,23619.7653506824,45412.898130389876
WOODLEIGH MRT STATION,103.87083429229013,1.3389870079378268,3,15 January 2006,2006-01,32175.09767103244,35683.92856506404
YEW TEE MRT STATION,103.74726709268901,1.3974991327789152,4,10 February 1996,1996-02,18423.61899955746,42154.04497458217
YIO CHU KANG MRT STATION,103.84480893448905,1.3817151830909304,3,7 November 1987,1987-11,29278.731132380723,40408.563499641605
YISHUN MRT STATION,103.83504942390182,1.4293844756294474,5,20 December 1988,1988-12,28192.617281555584,45679.58983765944
