school_name,address,postal_code,mainlevel_code,type_code,zone_code,X,Y,Longitude,Latitude,year_in_location
WOODLANDS RING SECONDARY SCHOOL,21 WOODLANDS AVENUE 1   ,739062,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,21802.2213575486,45825.6298548002,103.777625748539,1.43070452883799,1998
WOODLANDS SECONDARY SCHOOL,11 MARSILING ROAD   ,739111,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,21464.012295193,46756.7632628027,103.774586410437,1.43912528141356,1984
XINGHUA PRIMARY SCHOOL,45 HOUGANG AVENUE 1   ,538882,PRIMARY,GOVERNMENT SCHOOL,SOUTH,34332.065497526,37785.9478133563,103.890216355459,1.35799653782463,1985
XINGNAN PRIMARY SCHOOL,5 JURONG WEST STREET 91   ,649036,PRIMARY,GOVERNMENT SCHOOL,WEST,11781.8064267524,36095.6510288138,103.687588478681,1.34270639669225,1989
XINMIN PRIMARY SCHOOL,9 HOUGANG AVENUE 8   ,538784,PRIMARY,GOVERNMENT SCHOOL,NORTH,33507.7829754585,39308.7065256815,103.88280991785,1.37176798317468,1990
XINMIN SECONDARY SCHOOL,11 HOUGANG AVENUE 8   ,538789,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,33534.6789847175,39396.1568145063,103.88305161385,1.37255884700002,1990
XISHAN PRIMARY SCHOOL,8 YISHUN STREET 21   ,768611,PRIMARY,GOVERNMENT SCHOOL,NORTH,28493.7422212623,46131.5536631271,103.837755319448,1.43347186925064,1988
YANGZHENG PRIMARY SCHOOL,15 SERANGOON AVENUE 3   ,556108,PRIMARY,GOVERNMENT SCHOOL,SOUTH,31911.6418975126,36788.5459239464,103.868467129954,1.3489768083841,1988
YEW TEE PRIMARY SCHOOL,10 CHOA CHU KANG ST 64   ,689100,PRIMARY,GOVERNMENT SCHOOL,WEST,18930.0708015431,42068.5415837038,103.751817992962,1.39672603497195,2002
YIO CHU KANG PRIMARY SCHOOL,1 HOUGANG STREET 51   ,538720,PRIMARY,GOVERNMENT SCHOOL,NORTH,33823.1315680202,39990.3703038469,103.885643682171,1.37793264345276,1999
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5   ,569868,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,28981.3761166064,39995.0998579115,103.84213696352,1.37797597740925,1983
YISHUN INNOVA JUNIOR COLLEGE,3 YISHUN RING ROAD   ,768675,JUNIOR COLLEGE,GOVERNMENT SCHOOL,NORTH,27634.2199267391,45113.7171314787,103.83003171149,1.42426692572335,1988
YISHUN PRIMARY SCHOOL,500 YISHUN RING ROAD   ,768679,PRIMARY,GOVERNMENT SCHOOL,NORTH,28081.4848068403,46187.3166116737,103.834050796658,1.43397617334964,2011
YISHUN SECONDARY SCHOOL,4 YISHUN STREET 71   ,768516,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,27493.1783263972,45541.2352395374,103.828764316679,1.42813324276086,1988
YISHUN TOWN SECONDARY SCHOOL,6 YISHUN STREET 21   ,768610,SECONDARY (S1-S5),GOVERNMENT SCHOOL,NORTH,28531.4577029087,46004.3591205124,103.838094226361,1.43232156717386,1988
YU NENG PRIMARY SCHOOL,56 BEDOK NORTH ST 3   ,469623,PRIMARY,GOVERNMENT SCHOOL,EAST,38983.8870810149,35130.5094223451,103.932015036296,1.33398037894072,2006
YUAN CHING SECONDARY SCHOOL,103 YUAN CHING ROAD   ,618654,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,15488.8783984222,36018.0484284926,103.72089870437,1.34200635764467,1980
YUHUA PRIMARY SCHOOL,158 JURONG EAST STREET 24   ,609558,PRIMARY,GOVERNMENT SCHOOL,WEST,17710.4895017752,36118.9610992391,103.740861148879,1.34291981622016,1983
YUHUA SECONDARY SCHOOL,35 JURONG WEST STREET 41   ,649406,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,15687.9488993762,36590.8085158002,103.722687235839,1.34718626876968,1986
YUMIN PRIMARY SCHOOL,3 TAMPINES STREET 21   ,529393,PRIMARY,GOVERNMENT SCHOOL,EAST,41046.6676057065,37047.4549574535,103.950551091373,1.35131569890862,1985
YUSOF ISHAK SECONDARY SCHOOL,8 SUMANG WALK   ,828676,SECONDARY (S1-S5),GOVERNMENT SCHOOL,EAST,35006.1961496361,43197.5583218038,103.896275149571,1.40693702458178,1966
YUYING SECONDARY SCHOOL,47 HOUGANG AVENUE 1   ,538884,SECONDARY (S1-S5),GOVERNMENT-AIDED SCH,SOUTH,34329.6638843575,37690.788632296,103.890194755287,1.35713595302467,1985
ZHANGDE PRIMARY SCHOOL,51 Jalan Membina   ,169485,PRIMARY,GOVERNMENT SCHOOL,SOUTH,27180.147898172,29627.1081054062,103.825951884637,1.28421153855474,2005
ZHENGHUA PRIMARY SCHOOL,9 Fajar Road   ,679002,PRIMARY,GOVERNMENT SCHOOL,WEST,20920.4023949644,40155.8313870206,103.76970317201,1.37942873617052,1989
ZHENGHUA SECONDARY SCHOOL,62 Bukit Panjang Ring Road   ,679962,SECONDARY (S1-S5),GOVERNMENT SCHOOL,WEST,20453.8539943136,41144.0638934448,103.765510638527,1.38836583415352,1999
ZHONGHUA PRIMARY SCHOOL,12 SERANGOON AVENUE 4   ,556095,PRIMARY,GOVERNMENT SCHOOL,SOUTH,32050.2209249679,38036.2660969216,103.869712517383,1.36026072476019,1987
ZHONGHUA SECONDARY SCHOOL,13 SERANGOON AVENUE 3   ,556123,SECONDARY (S1-S5),GOVERNMENT SCHOOL,SOUTH,32018.8531237943,36725.5640310161,103.869430481414,1.34840720846208,1987
